SC,AIF,Nl,RW,Economic_Impact,Environmental_Impact,Social_Impact,EQ0,EQ1,EQ2,EQ3,EQ4,F0,F1,F2,F3
4,225873.27388851106,175,2661.17390013605,18490788.019302458,209739.46861076032,0.9948259390360823,1,1,1,1,1,0.9439852909747101,0.056014709025289926,0.0,0.0
1,29623.19982634318,27,1588.578063020835,2417578.031468045,73352.68528427837,0.7953845412831602,1,1,1,1,1,0.8572217657005841,0.051744649567768364,0.016804977228526512,0.07422860750312117
4,175000.0,175,2687.6079000014083,10431173.507472515,162500.0,0.999741149126331,1,1,1,1,1,0.7509205287132686,0.13836003300279356,0.05377446664996994,0.05694497163396794
4,182413.4394292889,175,1599.507840914253,15698837.849817783,169383.90804148256,0.7633259449281041,0,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
4,176434.86027847882,188,2687.6079000014083,11188863.402676031,163832.37025858747,0.999741149126331,1,1,1,1,1,0.8460769434596405,0.05093885050368248,0.015689882106908363,0.08729432392976869
1,25000.0,29,2025.4062111004218,1922451.4629807193,61904.7619047619,0.8766095595203462,1,1,1,1,1,0.9482935168211636,0.034492675228735406,0.01721380795010114,0.0
1,54846.724186524254,25,2687.6079000014083,5022601.548474453,135810.93608091722,0.9201956945808766,0,0,1,1,1,0.9604567814965254,0.0,0.03954321850347468,0.0
4,215919.1551617247,181,1845.8756606317183,19602768.11909169,200496.35836445863,0.8432271589125546,1,1,1,1,1,1.0,0.0,0.0,0.0
4,234593.13611585693,193,1601.944880884009,20903540.708517015,217836.48353615287,0.7183245493377751,0,0,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,29148.967293025104,25,1791.850842067676,2353577.918049775,72178.39520177645,0.8331816366804902,1,1,1,1,1,0.876496363408356,0.0,0.018816064836264603,0.10468757175537938
4,181960.67898577484,175,2609.4632637821774,13685078.97028616,168963.48762964807,0.9852107221610594,1,1,1,1,1,0.9498254499900783,0.027491157993774638,0.022683392016147014,0.0
1,48704.86032646724,25,1644.6164759802896,4694531.904875167,120602.51128458555,0.3058044767534938,0,0,0,0,0,0.9271193640434026,0.055013909544057014,0.017866726412540425,0.0
1,59972.75138880306,31,2677.750138739063,5393442.570865646,148503.95581989328,0.9297263519072602,1,1,1,1,0,0.9576740728526165,0.0,0.014674178596760333,0.02765174855062323
1,60141.85286444581,25,1744.2909198351585,6074160.270681277,148922.68328338966,0.6584291240100536,1,1,0,1,1,0.988608242894182,0.0,0.0,0.011391757105817971
1,32240.992732163555,27,2025.4062111004218,2679060.2642503195,79834.83914630977,0.8766095595203462,1,1,1,1,1,0.9299527284867148,0.0,0.017245297591128993,0.052801973922156194
4,234748.65708608858,181,2609.4632637821774,19348539.046862453,217980.8958656537,0.9852107221610594,1,1,1,1,1,0.9430730897219213,0.056926910278078745,0.0,0.0
1,58915.51592567405,26,2661.17390013605,5388043.446172312,145886.03943500243,0.9948259390360823,1,1,1,1,1,0.9271193640434026,0.055013909544057014,0.017866726412540425,0.0
1,29307.855369833393,27,2661.17390013605,2181860.877983954,72571.83234434936,0.9948259390360823,1,1,1,1,1,0.9207798450339421,0.05558121867263377,0.023638936293424118,0.0
1,41483.59134798618,28,1915.7125930882764,3791656.0094575062,102721.27381406102,0.810758283308615,1,0,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
1,56900.707328874996,25,2221.076772162026,5153817.716614015,140896.9895762619,0.9129930777541886,1,1,1,1,1,0.8459788404729427,0.15402115952705733,0.0,0.0
1,28662.40145797583,25,2609.4632637821774,2059116.1972708907,70973.56551498777,0.9852107221610594,1,1,1,1,1,0.876496363408356,0.0,0.018816064836264603,0.10468757175537938
1,29947.66752406636,25,1867.8047210749965,2510073.6170305163,74156.12910721195,0.8473047082698022,1,1,1,1,1,0.8674913334212104,0.13250866657878954,0.0,0.0
1,50966.63551665416,30,2633.434323309337,4418964.91785099,126203.09746981034,0.9555770573109759,0,1,1,1,1,0.9270173459989701,0.055090917810993845,0.017891736190036103,0.0
1,27820.00760504693,25,2363.1714451878406,2047861.6365119927,68887.63787916384,0.9394145491238083,1,1,1,1,1,0.876496363408356,0.0,0.018816064836264603,0.10468757175537938
4,247663.86808298616,179,2590.838649503251,20731357.220629722,229973.59179134428,0.9817476105435573,1,1,1,1,1,0.9387889745607736,0.05093455917336052,0.0,0.010276466265865912
4,193131.388408662,187,1595.455458267498,16565798.244317815,179336.2892366147,0.7966633429281328,1,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
4,183924.40868273156,175,2316.803849180515,14154953.581853598,170786.9509196793,0.9307928317553952,1,1,1,1,1,0.9117337836833472,0.06619550234761216,0.022070713969040593,0.0
1,42386.27260865212,26,1606.479112455236,3956455.601097528,104956.48455475764,0.7987131112784003,1,1,1,1,1,0.9271193640434026,0.055013909544057014,0.017866726412540425,0.0
4,222002.49368238403,180,1599.507840914253,20562760.37148142,206145.17270507087,0.3428713994735587,0,1,0,0,0,0.9723718102012666,0.0,0.027628189798733455,0.0
4,179652.88160156933,183,2323.6096298863436,13518640.788249955,166820.53291574295,0.9320583171971633,1,1,1,1,1,0.9207798450339421,0.05558121867263377,0.023638936293424118,0.0
1,32485.861243835723,25,2609.4632637821774,2652459.176629089,80441.18022283132,0.9852107221610594,1,1,1,1,1,0.9498254499900783,0.027491157993774638,0.022683392016147014,0.0
1,29363.215698246117,25,1599.507840914253,2594393.63241563,72708.91506232372,0.7633259449281041,0,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,54411.97289488034,25,2025.4062111004218,5132878.078150645,134734.40907303704,0.8425186504294371,0,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,57009.55456652757,25,2025.4062111004218,5223757.635227323,141166.51606949687,0.8766095595203462,1,1,1,1,1,0.8459788404729427,0.15402115952705733,0.0,0.0
4,208096.446165732,175,2199.274287453146,17162423.90380852,193232.4142967511,0.908939064234501,1,1,1,1,1,0.9271193640434026,0.055013909544057014,0.017866726412540425,0.0
1,28778.164692180188,27,1537.5541112324956,2451195.2002659105,71260.21733301762,0.7404424629561082,1,0,1,1,1,0.8674913334212104,0.13250866657878954,0.0,0.0
1,37087.592272441325,25,2280.887314978712,3311283.6016768403,91835.94276985471,0.9241144133467296,1,1,1,1,1,0.9807729255832512,0.0,0.01922707441674872,0.0
1,40558.22613602993,25,2661.17390013605,3207578.4824021608,100429.89328921698,0.9948259390360823,1,1,1,1,1,0.8460769434596405,0.05093885050368248,0.015689882106908363,0.08729432392976869
1,35208.299401789634,27,1599.507840914253,3342922.3530227877,87182.45566157435,0.7519623085644678,1,0,1,1,1,1.0,0.0,0.0,0.0
4,196324.92713278867,175,1957.3762729916461,16721964.864729658,182301.71805187518,0.8639598871312097,1,1,1,1,1,0.9394023034698451,0.06059769653015494,0.0,0.0
1,51587.09953580959,25,2360.7532718712787,4773989.748093642,127739.48456486185,0.8366921801038585,0,1,1,1,0,0.9604567814965254,0.0,0.03954321850347468,0.0
1,44643.32585817692,25,2025.4062111004218,3946913.5045059994,110545.37831548572,0.8766095595203462,1,1,1,1,1,0.8459788404729427,0.15402115952705733,0.0,0.0
1,32596.413723640304,28,1915.7125930882764,2829461.2106151693,80714.92922044266,0.810758283308615,1,0,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
1,52202.832905281444,26,2323.6096298863436,4891235.908106718,129264.15767022071,0.9320583171971633,1,1,1,1,1,0.9755810672616485,0.0,0.02441893273835147,0.0
1,33692.963900907285,25,2346.498792524292,2893912.0336720273,83430.19632605615,0.8908598451226751,1,0,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
1,38784.30708025733,25,2636.28030557322,3376455.8924301937,96037.33181778007,0.7788335197488999,1,0,0,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
1,26791.596620206165,25,1710.8194497712027,2283520.4198418744,66341.09639289146,0.8181144384104133,1,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,62675.410789619455,30,2671.1427184265403,5643720.085019678,155196.2552885815,0.9966795683202939,1,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,40615.96944732334,31,1537.5541112324956,3859540.213783443,100572.87672670544,0.7518060993197446,0,1,1,1,1,0.9897721047873975,0.010227895212602396,0.0,0.0
